Название,Артикул,"Вес, кг"
"Варенье ""Долголетие"" из шиповника, бузины, имбиря и женьшеня 320г Новинка!","0,535",1861
б. Сиропы,,
Сироп  из шиповника обыкновенного,"0,51",1231
"Сироп ""Будьте здоровы"" из эфиромасличных растений","0,51",746
Сироп  из лепестков роз,"0,51",1027
Сироп из плодов зеленого грецкого ореха           Новинка!,"0,51",1069
Сироп из кизила с лепестками роз    Новинка!,"0,51",2043
Сироп из клубники с лепесками роз       Новинка!,"0,51",1068
,,
анис,"0,008",523
апельсин сладкий,"0,011",2156
бергамот,"0,011",2240
валерьяна,"0,008",477
вербена лимонная,"0,008",2166
ветивер,"0,008",479
гвоздика,"0,008",524
герань,"0,008",525
грейпфрут,"0,008",480
ель,"0,008",526
жасмин абсолю,"0,008",707
иланг-иланг,"0,011",2167
имбирь,"0,008",527
иссоп,"0,008",482
каепут,"0,008",483
кардамон,"0,008",484
кедр,"0,011",2200
кипарис,"0,008",529
кориандр,"0,008",530
корица,"0,008",531
лаванда,"0,011",2164
лавр благородный,"0,008",532
ладан,"0,008",486
лайм,"0,008",487
левзея кубеба,"0,008",488
лиметт,"0,008",489
лимон,"0,008",490
майоран,"0,008",493
мандарин,"0,008",491
мелисса,"0,008",492
миндаль горький,"0,008",533
мирра,"0,008",494
мирт,"0,008",495
можжевельник,"0,008",534
мускатный орех,"0,008",535
мята,"0,011",2241
нероли,"0,008",496
пальмароза,"0,008",497
пачули,"0,008",498
петитгрейн,"0,008",499
пихта,"0,008",537
полынь лимонная,"0,008",601
полынь таврическая,"0,008",602
роза эфирная на откр,"0,004",1315
розмарин,"0,008",539
розовое дерево,"0,008",500
ромашка,"0,008",501
сандаловое дерево,"0,008",2169
сосна,"0,008",540
туя,"0,008",1321
укроп,"0,008",603
фенхель,"0,008",542
цитронелла,"0,008",503
чабрец,"0,008",543
чайное дерево,"0,011",2170
шалфей,"0,008",504
эвкалипт,"0,008",545
элеми,"0,008",505
,,
анис,"0,033",2
апельсин горький,"0,033",8
апельсин сладкий,"0,033",9
бергамот,"0,033",12
валерьяна,"0,033",14
вербена лимонная,"0,033",15
ветивер,"0,033",16
гвоздика,"0,033",17
герань,"0,033",18
грейпфрут,"0,033",19
душица,"0,033",20
ель,"0,033",21
жасмин абсолю,"0,033",22
Иланг-иланг,"0,033",23
имбирь,"0,033",24
каепут,"0,033",26
кардамон,"0,033",27
кедр,"0,033",28
кипарис,"0,033",29
кориандр,"0,033",30
корица,"0,033",31
лаванда,"0,033",32
лавр благородный,"0,033",33
ладан,"0,033",34
лайм,"0,033",35
левзея кубеба,"0,033",36
лиметт,"0,033",37
лимон,"0,033",38
майоран,"0,033",39
мандарин,"0,033",40
мелисса,"0,033",41
миндаль горький,"0,033",42
мирра,"0,033",650
мирт,"0,033",43
можжевельник,"0,033",44
мускатный орех,"0,033",45
мята,"0,033",46
нероли,"0,033",47
пальмарозы,"0,033",48
пачули,"0,033",49
петитгрейн,"0,033",50
пихта,"0,033",51
полынь лимонная,"0,033",587
полынь таврическая,"0,033",588
роза эфирная,"0,033",634
розмарин,"0,033",52
розовое дерево,"0,033",53
ромашка,"0,033",54
сандаловое дерево,"0,033",55
сосна,"0,033",56
туя,"0,033",57
укроп,"0,033",615
фенхель,"0,033",58
цитронелла,"0,033",59
чабрец,"0,033",60
чайное дерево,"0,033",61
шалфей,"0,033",62
эвкалипт,"0,033",63
элеми,"0,033",64
,,
анис,"0,043",66
апельсин горький,"0,043",67
апельсин сладкий,"0,043",68
бергамот,"0,043",71
валерьяна,"0,043",72
вербена лимонная,"0,043",73
гвоздика,"0,043",71
герань,"0,043",75
грейпфрут,"0,043",76
ель,"0,043",77
жасмин абсолю,"0,043",78
Иланг-иланг,"0,043",79
кедр,"0,043",80
кипарис,"0,043",81
кориандр,"0,043",82
корица,"0,043",83
лаванда,"0,043",84
лавр благородный,"0,043",85
ладан,"0,043",86
левзея кубеба,"0,043",87
лимон,"0,043",88
мандарин,"0,043",89
мелисса,"0,043",90
миндаль горький,"0,043",91
мирра,"0,043",651
можжевельник,"0,043",92
мята,"0,043",93
нероли,"0,043",448
пачули,"0,043",118
петитгрейн,"0,043",119
пихта,"0,043",120
полынь лимонная,"0,043",728
полынь таврическая,"0,043",729
розмарин,"0,043",121
розовое дерево,"0,043",122
сандаловое дерево,"0,043",123
сосна,"0,043",124
туя,"0,043",125
фенхель,"0,043",126
чабрец,"0,043",127
чайное дерево,"0,043",128
шалфей,"0,043",129
эвкалипт,"0,043",130
,,
Глина,,
"Глина крымская горная кембрийская бело-голубая, 1 кг","1,1",214
"Глина крымская горная кембрийская бело-голубая, 0,5 кг","0,6",215
"Брошюра ""Применение бело-голубой глины""","0,04",216
Кремень для очищения воды,"0,09",780
"Набор ""Сила трех минералов"" для очищения воды","0,17",781
"Глина крымская горная кембрийская бело-голубая, 0,2 кг","0,28",778
БЕЛЬДИ,,
